WorkRef,VISTAPublisher,PublicationDate,WorkAlert,ExcludedFromConfirmation,ConfirmationRestrictionAdded,ConfirmationNotes,WorkStatus,Imprint,CommissioningEditor,ISBN,ProductType,EditionTarget,Binding,Format,EditionVISTAProdType,EditionPriceSynchronisationTemplate,EditionExtent,EditionEmbargoedUntil
11624,Fic Non Fic Pic,28/3/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780230738935,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,304,
C103058134922,Mantle,28/3/2025,,No,No,,Acquired,Pan,Pan Editor,9780330542005,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,432,
4102,Gen Non-Fiction,28/3/2025,,No,No,,Acquired,Pan,Pan Editor,9780330541305,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,224,
C100609095832,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9781447231363,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,144,
1245,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9781447235255,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,320,
2465,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9780330538343,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,432,
1366,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9781447235293,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,384,
4495,Mantle,31/3/2025,,No,No,,Acquired,Picador,Picador Editor,9780330485029,Book,Main Market Ed.,Paperback,B Format,Paperback,,288,
C101577140423,Mantle,31/3/2025,,No,No,,Acquired,Pan,Pan Editor,9780330458382,Book,Main Market Ed.,Paperback,B Format,Paperback,,432,
C101577134750,Mantle,31/3/2025,,No,No,,Acquired,Pan,Pan Editor,9780330458368,Book,Main Market Ed.,Paperback,B Format,Paperback,,464,
C103775120845,Fic Non Fic Pic,11/4/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447236597,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,128,
C103230124643,Picador,11/4/2025,,No,No,,Acquired,Picador,Picador Editor,9781447227540,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,176,
