WorkRef,VISTAPublisher,PublicationDate,WorkAlert,ExcludedFromConfirmation,ConfirmationRestrictionAdded,ConfirmationNotes,WorkStatus,Imprint,CommissioningEditor,ISBN,ProductType,EditionTarget,Binding,Format,EditionVISTAProdType,EditionPriceSynchronisationTemplate,EditionExtent,EditionEmbargoedUntil
C103151144714,Gen Non-Fiction,23/5/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9780230772595,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
4742,Picador,23/5/2025,,No,No,,Acquired,Picador,Picador Editor,9781447250685,Book,Main Market Ed.,Paperback,B Format,Paperback,,192,
C103404113343,Picador,23/5/2025,,No,No,,Acquired,Picador,Picador Editor,9781447239420,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,256,
C102214170744,Picador,23/5/2025,,No,No,,Acquired,Picador,Picador Editor,9781447250654,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,64,
C103382141735,Picador,23/5/2025,,No,No,,Acquired,Picador,Picador Editor,9781447238256,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,304,
8218,Picador,30/5/2025,,No,No,,Acquired,Picador,Picador Editor,9780330527491,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,372,
C103003153715,Mantle,6/6/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447247203,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C102957142126,Gen Non-Fiction,6/6/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447247944,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,432,
C103251180843,Tor,6/6/2025,,No,No,,Acquired,Tor,Tor Editor,9781447237648,Bind Up,Main Market Ed.,Paperback,,Spl Packs PX,,576,
C103251180843,Tor,6/6/2025,,No,No,,Acquired,Tor,Tor Editor,9780230771772,EBook Bundle,Ebook,,,Online,,700,
C103173103905,Fic Non Fic Pic,6/6/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447241324,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,304,
18128,Gen Non-Fiction,6/6/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9780230768604,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,640,
C102878165522,Gen Non-Fiction,6/6/2025,,No,No,,Acquired,Pan,Pan Editor,9781447236801,Book,Main Market Ed.,Paperback,B Format,Paperback,,368,
C102621115441,Picador,6/6/2025,,No,No,,Acquired,Pan,Pan Editor,9781447236825,Book,Main Market Ed.,Paperback,B Format,Paperback,,664,
C103173103905,Fic Non Fic Pic,6/6/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447223979,Book,Main Market Ed.,Paperback,B Format,Paperback,,400,
C103594104435,Fic Non Fic Pic,6/6/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780330544207,Book,Main Market Ed.,Paperback,B Format,Paperback,,240,
C103754162206,Gen Non-Fiction,6/6/2025,,No,No,,Acquired,Pan,Pan Editor,9781447248958,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,192,
C103328102354,Picador,6/6/2025,,No,No,,Acquired,Picador,Picador Editor,9781447235583,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,256,
C102869141404,Tor,6/6/2025,,No,No,,Acquired,Tor,Tor Editor,9781447205821,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,356,
19127,Gen Non-Fiction,6/6/2025,,No,No,,Acquired,Pan,Pan Editor,9781447227786,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,356,
C102768172727,Tor,6/6/2025,,No,No,,Acquired,Tor,Tor Editor,9781447200499,Book,Main Market Ed.,Paperback,B Format,Paperback,,464,
C101856155429,Fic Non Fic Pic,6/6/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447220145,Book,Main Market Ed.,Paperback,270 x 216,Paperback,,32,
C102869141404,Tor,6/6/2025,,No,No,,Acquired,Tor,Tor Editor,9781447205746,Book,Main Market Ed.,Paperback,B Format,Paperback,,352,
1622,Picador,13/6/2025,,No,No,,Acquired,Picador,Picador Editor,9781447251965,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,600,
C103121110605,Fic Non Fic Pic,20/6/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447220251,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,208,
C103534164530,Picador,20/6/2025,,No,No,,Acquired,Picador,Picador Editor,9781447247401,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,400,
C103513144823,Fic Non Fic Pic,20/6/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447248378,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,256,
C101219174544,Gen Non-Fiction,20/6/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9780230772441,Book,Main Market Ed.,Trade Paperback,Royal,Paperback,,240,
C103340160938,Tor,20/6/2025,,No,No,,Acquired,Tor,Tor Editor,9780230770607,EBook,Ebook,,epub,Dig Ed Adobe,,220,
C102206161637,Picador,20/6/2025,,No,No,,Acquired,Picador,Picador Editor,9780330515726,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
C103277140911,Bluebird,20/6/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9780230771659,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,288,
C102703123322,Picador,20/6/2025,,No,No,,Acquired,Picador,Picador Editor,9780330544658,Book,Main Market Ed.,Paperback,B Format,Paperback,,384,
C103032145811,Picador,20/6/2025,,No,No,,Acquired,Picador,Picador Editor,9781447214854,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,256,
C103118113221,Fic Non Fic Pic,4/7/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447241331,EBook,Ebook,,"EPUB, Fixed",Dig Ed Adobe,MCB High,256,
C101333135021,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9780230772304,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,524,
C103303150847,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447238065,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,256,
C102843111647,Tor,4/7/2025,,No,No,,Acquired,Pan,Pan Editor,9780230771901,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,300,
C103542163119,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447248132,EBook,Ebook,,epub,Dig Ed Adobe,,256,
C103542165041,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447248149,EBook,Ebook,,epub,Dig Ed Adobe,,256,
C101458144959,Picador,4/7/2025,,No,No,,Acquired,Pan,Pan Editor,9781447236818,Book,Main Market Ed.,Paperback,B Format,Paperback,,528,
C103216095503,Fic Non Fic Pic,4/7/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447226239,Book,Main Market Ed.,Paperback,B Format,Paperback,,192,
C103542162639,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447248125,EBook,Ebook,,epub,Dig Ed Adobe,,256,
C103003173758,Mantle,4/7/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447247210,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C103012133402,Mantle,4/7/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447254171,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
20361,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447254027,EBook,Ebook,,epub,Dig Ed Adobe,,80,
C102750180222,Mantle,4/7/2025,,No,No,,Acquired,Mantle,Mantle Editor,9781447206767,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,256,
20356,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447253969,EBook,Ebook,,epub,Dig Ed Adobe,,80,
C103095160717,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447255963,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
C103542165635,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447248156,EBook,Ebook,,epub,Dig Ed Adobe,,256,
C103216095503,Fic Non Fic Pic,4/7/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447248347,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,280,
C103303150847,Picador,4/7/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447245155,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
20360,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447254010,EBook,Ebook,,epub,Dig Ed Adobe,,80,
20362,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447254034,EBook,Ebook,,epub,Dig Ed Adobe,,80,
C103003173758,Mantle,4/7/2025,,No,No,,Acquired,Mantle,Mantle Editor,9780230764668,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,256,
17740,Fic Non Fic Pic,4/7/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447217831,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,352,
C102744111110,Tor,4/7/2025,,No,No,,Acquired,Pan,Pan Editor,9780330545754,Book,Main Market Ed.,Paperback,B Format,Paperback,,640,
20358,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447253983,EBook,Ebook,,epub,Dig Ed Adobe,,80,
C103003173758,Mantle,4/7/2025,,No,No,,Acquired,Mantle,Mantle Editor,9781447235965,Book,Air Iri OME,Trade Paperback,Royal,Paperback,,368,
20357,Picador,4/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447253976,EBook,Ebook,,epub,Dig Ed Adobe,,80,
10698,Picador,11/7/2025,,Yes,No,,Acquired,Picador,Picador Editor,9781447211143,EBook,Ebook,,epub,Dig Ed Adobe,£0.99 fixed,80,
C100664150136,Picador,11/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447235637,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,192,
C103222165845,Bluebird,11/7/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9781447235484,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,112,
6460,Picador,11/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447252474,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,256,
C103688164703,Picador,11/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447253402,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,161,
C102414140107,Bluebird,11/7/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9781447252672,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,384,
4840,Gen Non-Fiction,11/7/2025,,No,No,,Acquired,Pan,Pan Editor,9781447235538,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,288,
C102281141104,Gen Non-Fiction,18/7/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447236832,Book,Main Market Ed.,Paperback,B Format,Paperback,,352,
C102473171325,Tor,18/7/2025,,No,No,,Acquired,Pan,Pan Editor,9780330528092,Book,Main Market Ed.,Paperback,,Paperback,,416,
C103450172757,Picador,18/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447242208,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,560,
C103376123109,Picador,18/7/2025,,No,No,,Acquired,Picador,Picador Editor,9781447254881,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,1024,
C101744170453,Pan/Sidgwick NF,25/7/2025,,No,No,,Acquired,Pan,Pan Editor,9781447255222,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,336,
C100942133300,Macmillan Bus,25/7/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447257462,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,147,
C103223160401,Fic Non Fic Pic,1/8/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447227328,Book,Main Market Ed.,Paperback,B Format,Paperback,,208,
C101967120934,Boxtree,1/8/2025,,No,No,,Acquired,Boxtree,Boxtree Editor,9781447248880,Book,Main Market Ed.,Trade Paperback,Royal,Paperback,,320,
C103753171212,Fic Non Fic Pic,1/8/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447217862,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,320,
C102828150957,Picador,1/8/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9780230772649,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C103223160401,Fic Non Fic Pic,1/8/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447247982,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,160,
C103451180136,Tor,1/8/2025,,No,No,,Acquired,Tor,Tor Editor,9780230772557,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,220,
14150,Fic Non Fic Pic,1/8/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447248118,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,224,
19534,Fic Non Fic Pic,1/8/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447241355,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,224,
C103495144810,Mantle,1/8/2025,,No,No,,Acquired,Picador,Picador Editor,9781447245193,Book,Main Market Ed.,Paperback,B Format,Paperback,,912,
C102656170809,Tor,1/8/2025,,No,No,,Acquired,Tor,Tor Editor,9780230771406,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,736,
C103293142347,Tor,1/8/2025,,No,No,,Acquired,Tor,Tor Editor,9780230769441,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,400,
20429,Gen Non-Fiction,4/8/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447255864,EBook,Ebook,,epub,Dig Ed Adobe,,172,
20428,Gen Non-Fiction,4/8/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447255833,EBook,Ebook,,epub,Dig Ed Adobe,,67,
20430,Gen Non-Fiction,4/8/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447255871,EBook,Ebook,,epub,Dig Ed Adobe,,209,
20431,Gen Non-Fiction,4/8/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447255888,EBook,Ebook,,epub,Dig Ed Adobe,,172,
C102869144346,Tor,6/8/2025,,No,No,,Acquired,Tor,Tor Editor,9781447205838,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,356,
C103655165307,Picador,15/8/2025,,No,No,,Acquired,Picador,Picador Editor,9781447257691,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,48,
C102750174750,Mantle,15/8/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447256342,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
C102656173311,Tor,15/8/2025,,No,No,,Acquired,Tor,Tor Editor,9780230771307,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,400,
C101984143132,Mantle,15/8/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447256311,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C103052161323,Fic Non Fic Pic,15/8/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780330538527,Book,Main Market Ed.,Paperback,B Format,Paperback,,176,
C103052161323,Fic Non Fic Pic,15/8/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447247999,EBook,Ebook,,epub,Dig Ed Adobe,,192,
C101984143132,Mantle,15/8/2025,,No,No,,Acquired,Picador,Picador Editor,9781447237334,Book,New Edit/Cover,Paperback,B Format,Paperback,,352,
C100093095227,Picador,15/8/2025,,No,No,,Acquired,Picador,Picador Editor,9780330542982,EBook,Ebook,,epub,Dig Ed Adobe,,272,
C101059142429,Mantle,15/8/2025,,No,No,,Acquired,Picador,Picador Editor,9780330449304,Book,Main Market Ed.,Paperback,B Format,Paperback,,368,
C101987093653,Mantle,15/8/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447256465,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C103110173742,Mantle,15/8/2025,,No,No,,Acquired,Mantle,Mantle Editor,9781447219989,EBook,Ebook,,epub,Dig Ed Adobe,,416,
C100140103103,Picador,15/8/2025,,No,No,,Acquired,Picador,Picador Editor,9780330475433,EBook,Ebook,,epub,Dig Ed Adobe,,400,
C103655165307,Picador,29/8/2025,,No,No,,Acquired,Picador,Picador Editor,9781447257684,Book,Main Market Ed.,Paperback,B Format,Paperback,,64,
C103593114515,Picador,29/8/2025,,No,No,,Acquired,Pan,Pan Editor,9781447237198,Book,Main Market Ed.,Paperback,B Format,Paperback,,368,
C103303144739,Picador,29/8/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9780230769908,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C102904135532,Picador,29/8/2025,,No,No,,Acquired,Picador,Picador Editor,9781447208266,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
C103593121846,Picador,29/8/2025,,No,No,,Acquired,Pan,Pan Editor,9781447237204,Book,Main Market Ed.,Paperback,B Format,Paperback,,288,
C103303144739,Picador,29/8/2025,,No,No,,Acquired,Picador,Picador Editor,9781447233183,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,256,
49153,Fic Non Fic Pic,29/8/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447241379,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,288,
49153,Fic Non Fic Pic,29/8/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447235774,Book,Main Market Ed.,Paperback,B Format,Paperback,,288,
C103594105147,Fic Non Fic Pic,29/8/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447217770,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,352,
C103716174545,Fic Non Fic Pic,10/9/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447263234,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,488,
C102137150139,Mantle,10/9/2025,,No,No,,Acquired,Mantle,Mantle Editor,9780230761322,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,356,
C103215111529,Fic Non Fic Pic,12/9/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447255635,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,208,
C102059110959,Mantle,12/9/2025,,No,No,,Acquired,Pan,Pan Editor,9780330511032,Book,Main Market Ed.,Paperback,B Format,Paperback,,736,
17886,Fic Non Fic Pic,12/9/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447217855,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,288,
C103509163724,Bluebird,12/9/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9781447246985,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,128,
C103059155530,Fic Non Fic Pic,12/9/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447200321,Book,Main Market Ed.,Paperback,B Format,Paperback,,352,
C102219111608,Picador,12/9/2025,,No,No,,Acquired,Picador,Picador Editor,9781447250326,Book,Main Market Ed.,Paperback,B Format,Paperback,,224,
C102345115242,Tor,12/9/2025,,No,No,,Acquired,Tor,Tor Editor,9780230771390,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,400,
C103509160241,Bluebird,12/9/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9781447247036,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,128,
C103333135240,Bluebird,12/9/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9780230772151,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,256,
C103328154331,Picador,12/9/2025,,No,No,,Acquired,Picador,Picador Editor,9781447235705,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,416,
C103510115136,Bluebird,12/9/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9781447246992,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,128,
10716,Presch Brand&Cl,12/9/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447261551,Book,Main Market Ed.,Paperback,Other,Paperback,,20,
C103059155530,Fic Non Fic Pic,12/9/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780230766396,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,352,
C103235120447,Picador,12/9/2025,,No,No,,Acquired,Picador,Picador Editor,9781447227670,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,160,
C103220141937,Picador,12/9/2025,,No,No,,Acquired,Picador,Picador Editor,9781447226802,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,256,
17022,Reference,12/9/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447264026,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,384,
C103425161003,Fic Non Fic Pic,12/9/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447241362,EBook,Ebook,,,Dig Ed Adobe,MCB High,300,
16477,Fic Non Fic Pic,12/9/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780330535748,Book,Main Market Ed.,Paperback,B Format,Paperback,,480,
C103509165603,Bluebird,12/9/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9781447247029,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,128,
C102794170727,Fic Non Fic Pic,12/9/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780230759800,Book,Main Market Ed.,Hardback,B Format,Hardback,,224,
C102059110959,Mantle,12/9/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447247142,Audio Book,Main Market Ed.,CD,Other,Compact Disc,,,
C103370122814,Mantle,12/9/2025,,No,No,,Acquired,Pan,Pan Editor,9781447237655,Book,Main Market Ed.,Paperback,B Format,Paperback,,304,
C103509172759,Bluebird,12/9/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447245643,Book,Main Market Ed.,Paperback,A Format,Paperback,,128,
C102768174145,Tor,12/9/2025,,No,No,,Acquired,Tor,Tor Editor,9780230772038,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,400,
C103509171710,Bluebird,12/9/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9781447247005,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,128,
C103509172759,Bluebird,12/9/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9781447247043,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,128,
C103509160241,Bluebird,12/9/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447245605,Book,Main Market Ed.,Paperback,A Format,Paperback,,128,
C102430151331,Picador,12/9/2025,,No,No,,Acquired,Picador,Picador Editor,9781447241843,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,432,
C102828152127,Picador,12/9/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9780230772656,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
20676,Tor,19/9/2025,,No,No,,No Head Contract Required,Pan,Pan Editor,9781447263852,EBook Bundle,Ebook,,epub,Online,,1280,
19956,Boxtree,26/9/2025,,No,No,,Acquired,Boxtree,Boxtree Editor,9781447256502,EBook,Ebook,,"EPUB, Fixed",Dig Ed Adobe,Standard Ebook,100,
C102785163451,Picador,26/9/2025,,No,No,,Acquired,Picador,Picador Editor,9780230759589,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,424,
C103053153344,Mantle,26/9/2025,,No,No,,Acquired,Mantle,Mantle Editor,9780230766266,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,288,
C103598105307,Gen Non-Fiction,26/9/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447252351,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,352,
C102450145800,Tor,26/9/2025,,No,No,,Acquired,Tor,Tor Editor,9780230771291,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,400,
C103048103532,Mantle,26/9/2025,,No,No,,Acquired,Pan,Pan Editor,9781447216582,Book,Main Market Ed.,Paperback,B Format,Paperback,,496,
C102541144739,Mantle,26/9/2025,,No,No,,Acquired,Mantle,Mantle Editor,9780230766143,EBook,Ebook,,,Dig Ed Adobe,On Demand,256,
C103594170306,Macmillan Bus,26/9/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447252337,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,160,
C103594104523,Fic Non Fic Pic,26/9/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780230766402,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,240,
C103247161314,Mantle,26/9/2025,,No,No,,Acquired,Mantle,Mantle Editor,9781447228844,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,224,
C103594111139,Fic Non Fic Pic,26/9/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447217879,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,256,
